Fichiers avec écart important (|diff| > 3)
============================================================
Data_pa031​_TUG2_2.csv: détectés=14, réels=9, diff=+5
Data_pa032​_F8W2_3.csv: détectés=20, réels=11, diff=+9
Data_pa032​_FO1_2.csv: détectés=15, réels=11, diff=+4
Data_pa032​_Marche_2.csv: détectés=17, réels=11, diff=+6
Data_pa034​_F8W2.csv: détectés=14, réels=9, diff=+5
Data_pa034​_F8W2_2.csv: détectés=15, réels=10, diff=+5
Data_pa034​_F8W2_3.csv: détectés=19, réels=9, diff=+10
Data_pa034​_FO1_2.csv: détectés=14, réels=10, diff=+4
Data_pa034​_FO2_3.csv: détectés=17, réels=10, diff=+7
Data_pa034​_Marche2_2.csv: détectés=14, réels=10, diff=+4
Data_pa034​_Marche2_3.csv: détectés=14, réels=10, diff=+4
Data_pa034​_TUG2.csv: détectés=15, réels=11, diff=+4

Total: 254
